Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7760585,"rna-seq_bat_training_female_2w_biological_rep4_vial_90585016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997081",SRX20997081,"Euan Ashley","Sep 30, 2023"
GSM7760586,"rna-seq_bat_training_female_2w_biological_rep5_vial_90587016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997082",SRX20997082,"Euan Ashley","Sep 30, 2023"
GSM7760587,"rna-seq_wat_control_male_8w_biological_rep1_vial_90217017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997083",SRX20997083,"Euan Ashley","Sep 30, 2023"
GSM7760588,"rna-seq_wat_training_male_8w_biological_rep1_vial_90218017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997084",SRX20997084,"Euan Ashley","Sep 30, 2023"
GSM7760589,"rna-seq_wat_training_male_8w_biological_rep2_vial_90222017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997085",SRX20997085,"Euan Ashley","Sep 30, 2023"
GSM7760590,"rna-seq_wat_training_male_8w_biological_rep3_vial_90223017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997086",SRX20997086,"Euan Ashley","Sep 30, 2023"
GSM7760591,"rna-seq_wat_training_male_8w_biological_rep4_vial_90225017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997087",SRX20997087,"Euan Ashley","Sep 30, 2023"
GSM7760592,"rna-seq_wat_training_male_8w_biological_rep5_vial_90227017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997088",SRX20997088,"Euan Ashley","Sep 30, 2023"
GSM7760593,"rna-seq_wat_control_male_8w_biological_rep2_vial_90229017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997089",SRX20997089,"Euan Ashley","Sep 30, 2023"
GSM7760594,"rna-seq_wat_control_male_8w_biological_rep3_vial_90232017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997090",SRX20997090,"Euan Ashley","Sep 30, 2023"
GSM7760595,"rna-seq_wat_control_male_8w_biological_rep4_vial_90237017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997337",SRX20997337,"Euan Ashley","Sep 30, 2023"
GSM7760596,"rna-seq_wat_control_male_8w_biological_rep5_vial_90239017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997338",SRX20997338,"Euan Ashley","Sep 30, 2023"
GSM7760597,"rna-seq_wat_control_female_8w_biological_rep1_vial_90245017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997241",SRX20997241,"Euan Ashley","Sep 30, 2023"
GSM7760598,"rna-seq_wat_control_female_8w_biological_rep2_vial_90248017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997242",SRX20997242,"Euan Ashley","Sep 30, 2023"
GSM7760599,"rna-seq_wat_training_female_8w_biological_rep1_vial_90251017005","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997243",SRX20997243,"Euan Ashley","Sep 30, 2023"
